Unnamed: 0.1,Unnamed: 0,id,context,question,answer0,answer1,answer2,answer3,label,split,input,output,answer,task,option1,option2,option3,option4,input_length,output_text,output_label,domain_label,question_type,preds,choice,is_correct
0,0,30EMX9PEVMXNPTTOGNGO3VHDJ6OKS5##3WT783CTPEW9CTYS3QJXE7QU1DCCBQ##A2KYOM2ZGYDJGT##Blog_1072286##q1_a1##3M0556243UYFTU957G85OOF2P9SFNC,Your wonderful neighbor has backed into your car . He says he did n't see the bright red vehicle parked in its normal spot outside your house . Do n't go next door and threaten to break his nose . He 'll need it to hold up the new pair of glasses he obviously needs .,Why might someone threaten to break the neighbor 's nose ?,Because the neighbor is wonderful .,Because the vehicle was bright red .,Because the neighbor damaged their property .,None of the above choices .,2,test,context: your wonderful neighbor has backed into your car . he says he did n't see the bright red vehicle parked in its normal spot outside your house . do n't go next door and threaten to break his nose . he 'll need it to hold up the new pair of glasses he obviously needs . question: why might someone threaten to break the neighbor 's nose ? options: a) because the neighbor is wonderful b) because the vehicle was bright red c) because the neighbor damaged their property d) none of the above choices,because the neighbor damaged their property,3,cosmosqa,because the neighbor is wonderful,because the vehicle was bright red,because the neighbor damaged their property,none of the above choices,121,c) because the neighbor damaged their property,c,social,cause prediction,b),b,0
1,1,3VZYA8PITOW5CCP2G0HYZ244ZK005K##3M68NM076I5SHU795ZGK0OFFJ5U6RQ##A2KYOM2ZGYDJGT##Blog_898401##q1_a1##3EQPA8A376APFL9KTUAKY9E3SWZJZM,I ' m still hoping to lose 5 more lbs . by August and I 'll be content with my weight . I do n't exactly want to look anorexic - I just want to look fit . I want toned arms and a super flat tummy .,Why does the writer want to lose 5 more lbs . by August ?,Because they are content with their weight .,Because they want to weigh less than they do now .,Because they do n't want to look anorexic .,Because they need to be content with their weight by August .,1,test,context: i ' m still hoping to lose 5 more lbs . by august and i 'll be content with my weight . i do n't exactly want to look anorexic - i just want to look fit . i want toned arms and a super flat tummy . question: why does the writer want to lose 5 more lbs . by august ? options: a) because they are content with their weight b) because they want to weigh less than they do now c) because they do nt want to look anorexic d) because they need to be content with their weight by august,because they want to weigh less than they do now,2,cosmosqa,because they are content with their weight,because they want to weigh less than they do now,because they do nt want to look anorexic,because they need to be content with their weight by august,137,b) because they want to weigh less than they do now,b,social,cause prediction,b),b,1
2,3,3FTID4TN8NCV5LNF0TKE0HITQKPYLN##37XITHEISZOWS0FHZN5NEMVYKTTCR6##A2KYOM2ZGYDJGT##Blog_610737##q1_a1##3W1K7D6QSDVJX2B852X30LVQKT7ZB2,"I ' m wrapping up on my favorite client today . Will start back at my other favorite client on Tuesday ( yay ! ) . It is n't exactly my first choice of actual work ( it will be accounting , rather than auditing ) , but they did get me another $ 3/hour , which is good . And it is a longer - term gig , which is great .",Why is this client my favorite ?,None of the above choices .,Because it is n't exactly my first choice of actual work .,Because they got me another $ 3/hour .,Because I enjoy my interactions with them .,3,test,"context: i ' m wrapping up on my favorite client today . will start back at my other favorite client on tuesday ( yay ! ) . it is n't exactly my first choice of actual work ( it will be accounting , rather than auditing ) , but they did get me another $ 3/hour , which is good . and it is a longer - term gig , which is great . question: why is this client my favorite ? options: a) none of the above choices b) because it is nt exactly my first choice of actual work c) because they got me another 3hour d) because i enjoy my interactions with them",because i enjoy my interactions with them,4,cosmosqa,none of the above choices,because it is nt exactly my first choice of actual work,because they got me another 3hour,because i enjoy my interactions with them,140,d) because i enjoy my interactions with them,d,social,cause prediction,d),d,1
3,4,3G57RS03HJJR2BRNFLXCAOLRPMP52Y##3F1567XTNZKUI1TEAO6W76KLJQ09Q6##A3GVXFBYAU9HP##Blog_684879##q1_a1##3UYRNV2KIVD6EFZIZ22ZEWYG2B58NQ,"I just do n't really know . As strange as it may sound , I have already begun looking for apartments in Copenhagen . Just to check the rent and stuff . It actually does n't seem all that expensive , so I ' m positive about it . I also talked more about it with Susanne , and she seems like she 's getting more and more used to the idea .",Why am I looking for apartments in Copenhagen ?,Susanne is planning on moving to Copenhagen .,None of the above choices .,Susanne thinking about living in Copenhagen .,I am planning on moving to Copenhagen .,3,test,"context: i just do n't really know . as strange as it may sound , i have already begun looking for apartments in copenhagen . just to check the rent and stuff . it actually does n't seem all that expensive , so i ' m positive about it . i also talked more about it with susanne , and she seems like she 's getting more and more used to the idea . question: why am i looking for apartments in copenhagen ? options: a) susanne is planning on moving to copenhagen b) none of the above choices c) susanne thinking about living in copenhagen d) i am planning on moving to copenhagen",i am planning on moving to copenhagen,4,cosmosqa,susanne is planning on moving to copenhagen,none of the above choices,susanne thinking about living in copenhagen,i am planning on moving to copenhagen,145,d) i am planning on moving to copenhagen,d,commonsense,cause prediction,d,d,1
4,5,3CVBMEMMXBEVAG9H213G3EHHCV17HO##34T446B1C1CTXHWBLDA82S6243OC0A##A2KYOM2ZGYDJGT##Blog_1034814##q1_a1##3KWGG5KP6LG2804V4D34335ZN1UMC2,Lord thank you so much for keepin him with me . i literally would nt be able to function with out him . That incident really put a new outlook on the way i tlk to him and just the way i tlk to everyone .,Why did the incident give the writer a new outlook ?,Because it was an important and possibly life changing event .,Because she needed a new way to talk to people .,Because the lord kept him with her .,Because she would n't have been able to function without him .,0,test,context: lord thank you so much for keepin him with me . i literally would nt be able to function with out him . that incident really put a new outlook on the way i tlk to him and just the way i tlk to everyone . question: why did the incident give the writer a new outlook ? options: a) because it was an important and possibly life changing event b) because she needed a new way to talk to people c) because the lord kept him with her d) because she would nt have been able to function without him,because it was an important and possibly life changing event,1,cosmosqa,because it was an important and possibly life changing event,because she needed a new way to talk to people,because the lord kept him with her,because she would nt have been able to function without him,133,a) because it was an important and possibly life changing event,a,social,cause prediction,d),d,0
5,6,3XEIP58NL0LGGMYDCHAXMQ3N3Z3LZ5##3HVVDCPGTFQ7GTU7F7G7JU0Q38UYTI##A29RROPO0Z90XV##Blog_346835##q2_a1##3T5ZXGO9DG2618DXOKUTVAQP6HYZQG,"Having my producer stands beside me is enough . "" It is rubbish "" said he , commenting on the scriptwriter 's e - mail , "" I trust you more than her "" . I know it 's going to take some time for her to solve the misunderstanding puzzle and realize that she would n't need to be furious if only she had been willing to communicate trustfully and equally .",What will happen after the producer received the email ?,He will put together the cardboard puzzle .,None of the above choices .,He will solve the misunderstanding between them .,He will throw her in the rubbish bin .,2,test,"context: having my producer stands beside me is enough . "" it is rubbish "" said he , commenting on the scriptwriter 's e - mail , "" i trust you more than her "" . i know it 's going to take some time for her to solve the misunderstanding puzzle and realize that she would n't need to be furious if only she had been willing to communicate trustfully and equally . question: what will happen after the producer received the email ? options: a) he will put together the cardboard puzzle b) none of the above choices c) he will solve the misunderstanding between them d) he will throw her in the rubbish bin",he will solve the misunderstanding between them,3,cosmosqa,he will put together the cardboard puzzle,none of the above choices,he will solve the misunderstanding between them,he will throw her in the rubbish bin,141,c) he will solve the misunderstanding between them,c,social,effect prediction,c) he will solve the misunderstanding between them,c,1
6,7,3I6NF2WGIIAHH5ZUE0I1CSFSZSDG5L##3U088ZLJVN8H641NM1M96K1E3Z1W0M##A2KYOM2ZGYDJGT##Blog_354843##q1_a1##3TTPFEFXCVYR05UJ3PAOPY5TA1UH6M,"Apparently ( keep in mind , I ' m not good with the car talk ) , a rod blew , creating a spark in the engine which set the oil on fire . We grabbed all our stuff out of the car in case it blew up , and called the fire dept . We also called Aaron and Amy to turn around and come rescue us .",Why did they call the fire dept ?,Because they grabbed all their stuff out of the car .,Because they thought a fire might erupt .,Because a rod blew .,None of the above choices .,1,test,"context: apparently ( keep in mind , i ' m not good with the car talk ) , a rod blew , creating a spark in the engine which set the oil on fire . we grabbed all our stuff out of the car in case it blew up , and called the fire dept . we also called aaron and amy to turn around and come rescue us . question: why did they call the fire dept ? options: a) because they grabbed all their stuff out of the car b) because they thought a fire might erupt c) because a rod blew d) none of the above choices",because they thought a fire might erupt,2,cosmosqa,because they grabbed all their stuff out of the car,because they thought a fire might erupt,because a rod blew,none of the above choices,140,b) because they thought a fire might erupt,b,commonsense,cause prediction,b,b,1
7,8,388FBO7JZT7LTLQ0C60TD9MIVBQYNI##3SB4CE2TJYASWH4VO8FOX9RYLS2AXD##A2KYOM2ZGYDJGT##Blog_714793##q1_a1##38Z7YZ2SB5GK6IONOG67VFNZAFRIQJ,"It seems like he do nt feel tired at all . He keep playing , sliding , go to the swing and climb everywhere . So now , when we get home , my leg are very sore and i m totally knock out hehe :-) Need to massage my foot before i go to bed . :-) Our treasure hunting was fun but its tired .",Why does it seem like he does n't feel tired at all ?,Because the writer needs to massage their foot .,Because he has a lot of energy .,Because the writer 's legs are very sore .,None of the above choices .,1,test,"context: it seems like he do nt feel tired at all . he keep playing , sliding , go to the swing and climb everywhere . so now , when we get home , my leg are very sore and i m totally knock out hehe :-) need to massage my foot before i go to bed . :-) our treasure hunting was fun but its tired . question: why does it seem like he does n't feel tired at all ? options: a) because the writer needs to massage their foot b) because he has a lot of energy c) because the writer s legs are very sore d) none of the above choices",because he has a lot of energy,2,cosmosqa,because the writer needs to massage their foot,because he has a lot of energy,because the writer s legs are very sore,none of the above choices,145,b) because he has a lot of energy,b,commonsense,cause prediction,b),b,1
8,9,30U1YOGZGCAFBNNEO6U1ZIMN0VMSDS##3Z4AIRP3C9SW2TRVSPMVM8YVI00X1L##A2KYOM2ZGYDJGT##Blog_174615##q1_a1##3OEWW2KGQLP0DVVLHPDSFDCM3BNDOU,"Afterward , though , we ran to Kroger where she found her pumpkin ice cream and I stocked up on low - point snacks for work and sweets for those late night cravings I always seem to get . So even though I was a bad kid today , tomorrow is my first real day back on the plan and I already have my meals basically planned out , so I ' m not too worried . Oh !",Why did she find her pumpkin ice cream ?,Because I already have my meals .,Because I ' m not too worried .,Because she was looking for it .,Because I was a bad kid today .,2,test,"context: afterward , though , we ran to kroger where she found her pumpkin ice cream and i stocked up on low - point snacks for work and sweets for those late night cravings i always seem to get . so even though i was a bad kid today , tomorrow is my first real day back on the plan and i already have my meals basically planned out , so i ' m not too worried . oh ! question: why did she find her pumpkin ice cream ? options: a) because i already have my meals b) because i m not too worried c) because she was looking for it d) because i was a bad kid today",because she was looking for it,3,cosmosqa,because i already have my meals,because i m not too worried,because she was looking for it,because i was a bad kid today,145,c) because she was looking for it,c,commonsense,cause prediction,b,b,0
9,10,3HRWUH63QWGNRXGG14VW2COP0FGN53##3B2X28YI3ZUKWCPRTZ6US7YK76T6BG##A2KYOM2ZGYDJGT##Blog_586922##q1_a1##3BAKUKE49JQ9ID7PTOA186GIP141R1,"I was swooning to him that I am really , really happy these days , and he just smile and told me that is his mission for now . To make me happy . Mom went ballistic over the coach bag and the CK bag and the other stuff that we bought . Dad was as cool as ever .",Why did Mom go ballistic ?,Because I was swooning to him .,Because we spent a lot of money .,None of the above choices .,"Because I am really , really happy these days .",1,test,"context: i was swooning to him that i am really , really happy these days , and he just smile and told me that is his mission for now . to make me happy . mom went ballistic over the coach bag and the ck bag and the other stuff that we bought . dad was as cool as ever . question: why did mom go ballistic ? options: a) because i was swooning to him b) because we spent a lot of money c) none of the above choices d) because i am really really happy these days",because we spent a lot of money,2,cosmosqa,because i was swooning to him,because we spent a lot of money,none of the above choices,because i am really really happy these days,125,b) because we spent a lot of money,b,social,cause prediction,b,b,1
