task,is_correct,domain_label,question_type,input,input,output_text,preds
anli,1,social,effect prediction,context: observation 1. quinton was getting evicted from his apartment. observation 2. quinton felt depressed. question: what is the most plausible hypothesis? options: a) quinton packed up his bags and started looking for a new place b) quinton could not find another apartment to move into,context: observation 1. quinton was getting evicted from his apartment. observation 2. quinton felt depressed. question: what is the most plausible hypothesis? options: a) quinton packed up his bags and started looking for a new place b) quinton could not find another apartment to move into,b) quinton could not find another apartment to move into,b) quinton could not find another apartment to move into
anli,1,commonsense,cause prediction,context: observation 1. may really wanted to go to the concert that was playing next week. observation 2. a kind reader wrote back to offer her two free tickets to the concert! question: what is the most plausible hypothesis? options: a) may sent out tweets looking for tickets b) so she bought 2 tickets online,context: observation 1. may really wanted to go to the concert that was playing next week. observation 2. a kind reader wrote back to offer her two free tickets to the concert! question: what is the most plausible hypothesis? options: a) may sent out tweets looking for tickets b) so she bought 2 tickets online,a) may sent out tweets looking for tickets,a) may sent out tweets looking for tickets
anli,1,social,cause prediction,"context: observation 1. lyn spoke with a stutter. observation 2. in a few months, it had vanished entirely! question: what is the most plausible hypothesis? options: a) lyn sought treatment and it helped b) lyn decided to get acting lessons","context: observation 1. lyn spoke with a stutter. observation 2. in a few months, it had vanished entirely! question: what is the most plausible hypothesis? options: a) lyn sought treatment and it helped b) lyn decided to get acting lessons",a) lyn sought treatment and it helped,a) lyn sought treatment and it helped
anli,1,social,effect prediction,context: observation 1. i came home from work and was very hungry. observation 2. i cooked the pasta and enjoyed it. question: what is the most plausible hypothesis? options: a) i prepared a dish for myself to eat b) i found the food cabinet to be empty,context: observation 1. i came home from work and was very hungry. observation 2. i cooked the pasta and enjoyed it. question: what is the most plausible hypothesis? options: a) i prepared a dish for myself to eat b) i found the food cabinet to be empty,a) i prepared a dish for myself to eat,a) i prepared a dish for myself to eat
anli,1,commonsense,cause prediction,context: observation 1. i felt out of shape. observation 2. i was happy when i made it to the top! question: what is the most plausible hypothesis? options: a) i decided to climb down the hill anyway b) i was doing diet and exercise for a while,context: observation 1. i felt out of shape. observation 2. i was happy when i made it to the top! question: what is the most plausible hypothesis? options: a) i decided to climb down the hill anyway b) i was doing diet and exercise for a while,b) i was doing diet and exercise for a while,b) i was doing diet and exercise for a while
anli,0,commonsense,effect prediction,"context: observation 1. a man went out early one morning. observation 2. he resolved, next time, to check the day's overall forecast. question: what is the most plausible hypothesis? options: a) it started raining on the man b) it started raining and she didnt have an umbrella","context: observation 1. a man went out early one morning. observation 2. he resolved, next time, to check the day's overall forecast. question: what is the most plausible hypothesis? options: a) it started raining on the man b) it started raining and she didnt have an umbrella",a) it started raining on the man,b) it started raining and she didnt have an umbrella
anli,1,commonsense,effect prediction,context: observation 1. gretchen was feeling very sad as she walked to work one day. observation 2. gretchen felt happy because the prize cheered her up. question: what is the most plausible hypothesis? options: a) she won a gift card for best performance b) she was hit and killed,context: observation 1. gretchen was feeling very sad as she walked to work one day. observation 2. gretchen felt happy because the prize cheered her up. question: what is the most plausible hypothesis? options: a) she won a gift card for best performance b) she was hit and killed,a) she won a gift card for best performance,a) she won a gift card for best performance
anli,0,commonsense,effect prediction,context: observation 1. terence took his brothers boomerang and threw it as hard as he could. observation 2. terence didn't know that boomerang's returned to the thrower. question: what is the most plausible hypothesis? options: a) terrence ended up with a black eye b) he bragged about the strength of his throw to his brother only for his brother to suddenly hit him in the face,context: observation 1. terence took his brothers boomerang and threw it as hard as he could. observation 2. terence didn't know that boomerang's returned to the thrower. question: what is the most plausible hypothesis? options: a) terrence ended up with a black eye b) he bragged about the strength of his throw to his brother only for his brother to suddenly hit him in the face,a) terrence ended up with a black eye,b) he bragged about the strength of his throw to his brother only for
anli,1,social,effect prediction,context: observation 1. amy wanted to learn how to draw. observation 2. her face lit up when she saw her drawings were on the fridge. question: what is the most plausible hypothesis? options: a) amy didnt practice drawing all day b) amy practiced and gave the drawing to her mom,context: observation 1. amy wanted to learn how to draw. observation 2. her face lit up when she saw her drawings were on the fridge. question: what is the most plausible hypothesis? options: a) amy didnt practice drawing all day b) amy practiced and gave the drawing to her mom,b) amy practiced and gave the drawing to her mom,b) amy practiced and gave the drawing to her mom
anli,1,commonsense,cause prediction,context: observation 1. a friend and i were walking through a wooded area. observation 2. i threw it back down and we ran away. question: what is the most plausible hypothesis? options: a) i picked up a rock with hieroglyphics on it b) we picked up a snake because we thought it was a stick,context: observation 1. a friend and i were walking through a wooded area. observation 2. i threw it back down and we ran away. question: what is the most plausible hypothesis? options: a) i picked up a rock with hieroglyphics on it b) we picked up a snake because we thought it was a stick,b) we picked up a snake because we thought it was a stick,b) we picked up a snake because we thought it was a stick
anli,1,social,cause prediction,context: observation 1. i just completed my first marathon today. observation 2. i'm really disappointed in myself. question: what is the most plausible hypothesis? options: a) ive trained before but couldnt walk the entire way b) i never trained before that and walked the entire way,context: observation 1. i just completed my first marathon today. observation 2. i'm really disappointed in myself. question: what is the most plausible hypothesis? options: a) ive trained before but couldnt walk the entire way b) i never trained before that and walked the entire way,b) i never trained before that and walked the entire way,b) i never trained before that and walked the entire way
anli,1,commonsense,effect prediction,context: observation 1. jay went to pick up his mail. observation 2. jay looked at it and pick it up with great effort. question: what is the most plausible hypothesis? options: a) he opened the door finding one postcard b) jay dropped his mail on the ground and it went all over,context: observation 1. jay went to pick up his mail. observation 2. jay looked at it and pick it up with great effort. question: what is the most plausible hypothesis? options: a) he opened the door finding one postcard b) jay dropped his mail on the ground and it went all over,b) jay dropped his mail on the ground and it went all over,b) jay dropped his mail on the ground and it went all over
anli,1,commonsense,effect prediction,context: observation 1. joey was a second grader that like to color in coloring books. observation 2. joey felt proud of himself. question: what is the most plausible hypothesis? options: a) joey miscolored the picture b) joey colored in 20 books,context: observation 1. joey was a second grader that like to color in coloring books. observation 2. joey felt proud of himself. question: what is the most plausible hypothesis? options: a) joey miscolored the picture b) joey colored in 20 books,b) joey colored in 20 books,b) joey colored in 20 books
