id,background,situation,question,answers,split,answer_label,input,output,task,input_length,output_text,preds,choice,is_correct
999561665,"Storing large volumes of data – When storing XML to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, CPU load goes up as XML data takes more power to process, and storage costs go up. By storing XML data in Fast Infoset format, data volume may be reduced by as much as 80 percent.","Ian had a busy day storing XML. At 4 PM, he stored 11100 Gigabytes to the database. At 5 PM, he stored 22200 Gigabytes to the database. At 6 PM, he stored 33300 Gigabytes to the database. At 7 PM, he got dinner. At 8 PM, he stored 44400 Gigabytes to the database. At 9 PM, he stored 55500 Gigabytes to the database. At 10 PM, he went to sleep to finish storing XML in the morning.",What time did storage costs go up:  5 PM or 7 PM?,{'text': ['5 PM']},test,5 PM,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: ian had a busy day storing xml. at 4 pm, he stored 11100 gigabytes to the database. at 5 pm, he stored 22200 gigabytes to the database. at 6 pm, he stored 33300 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 44400 gigabytes to the database. at 9 pm, he stored 55500 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml in the morning.
 question: what time did storage costs go up:  5 pm or 7 pm?",5 pm,ropes,249,5 pm,5 pm,a,1
2772851677,"Hepatitis B is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. Two different types of infection exist for this disease, ""acute"" and ""chronic."" Acute Hepatitis B is a short term illness that occurs within 6 months of exposure, Chronic Hepatitis B is long term and happens when the virus remains in the body. The younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. Approximately 90% of infected infants will develop a chronic infection.[3]","A 4th grade classroom photo was held today. They all gathered by age. Anthony was the youngest. Kevin was the 2nd youngest. Jason was the 3rd youngest. Matthew was the 4th youngest. Gary was the 5th youngest. Timothy was the 6th youngest. The last one was Jose, who was the oldest. They all looked fantastic that day.",Who has a greater chance of developing a chronic infection: Gary or Anthony?,{'text': ['Anthony']},test,Anthony,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 4th grade classroom photo was held today. they all gathered by age. anthony was the youngest. kevin was the 2nd youngest. jason was the 3rd youngest. matthew was the 4th youngest. gary was the 5th youngest. timothy was the 6th youngest. the last one was jose, who was the oldest. they all looked fantastic that day.
 question: who has a greater chance of developing a chronic infection: gary or anthony?",anthony,ropes,230,anthony,anthony,a,1
1517976593,"Turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. Using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. As shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. That is to say, the crash rate per
cyclist goes down as the cycle volume increases.","Steven loves biking to get to and from places instead of driving his car. This weekend he is planning a long bike ride along the city streets to see some sites. He is however, concerned with traffic, and knows that it can sometimes be dangerous. He has wonder if he should travel with some friends for the ride, or just go alone.",Which would be the least crash prone way to travel for Steven?,{'text': ['travel with some friends']},test,travel with some friends,"background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: steven loves biking to get to and from places instead of driving his car. this weekend he is planning a long bike ride along the city streets to see some sites. he is however, concerned with traffic, and knows that it can sometimes be dangerous. he has wonder if he should travel with some friends for the ride, or just go alone.
 question: which would be the least crash prone way to travel for steven?",travel with some friends,ropes,225,travel with some friends,alone,a,0
1468159373,"Hepatitis B is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. Two different types of infection exist for this disease, ""acute"" and ""chronic."" Acute Hepatitis B is a short term illness that occurs within 6 months of exposure, Chronic Hepatitis B is long term and happens when the virus remains in the body. The younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. Approximately 90% of infected infants will develop a chronic infection.[3]","A 4th grade classroom photo was held today. They all gathered by age. Marcelo was the oldest. Mel was the 2nd oldest. Tod was the 3rd oldest. Chang was the 4th oldest. Chauncey was the 5th oldest. Lenard was the 6th oldest. The last one was Maria, who was the youngest. They all looked wonderful that day.",Who has a greater chance of developing a chronic infection: Lenard or Maria?,{'text': ['Maria']},test,Maria,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 4th grade classroom photo was held today. they all gathered by age. marcelo was the oldest. mel was the 2nd oldest. tod was the 3rd oldest. chang was the 4th oldest. chauncey was the 5th oldest. lenard was the 6th oldest. the last one was maria, who was the youngest. they all looked wonderful that day.
 question: who has a greater chance of developing a chronic infection: lenard or maria?",maria,ropes,238,maria,maria,a,1
174402562,"Artworks are sold at affordable prices [6] ranging from £5 to £1500. For many of the works, the price goes up as the edition sells out. The edition runs range from 30 to 10,000 editions. Each work comes with a digital certificate that is “signed, numbered and authenticated by the artist” [7][8] Once an edition is sold out, collectors can resell their works in the online marketplace.","The local art store had limited edition artworks for sale last week. They all had 200 pieces at the beginning of the week. By the end of the week, they started to sell out. There were only 2 of the Mona Lisa, 10 of The Starry Night, 20 of The Scream, 50 of The Night Watch, 120 of The Kiss, 150 of The Arnolfini Portrait, and 190 of The Girl With A Pearl Earring left.",Which limited edition most likely had it's price increased: The Girl With A Pearl Earring or Mona Lisa?,{'text': ['Mona Lisa']},test,Mona Lisa,"background: artworks are sold at affordable prices [6] ranging from £5 to £1500. for many of the works, the price goes up as the edition sells out. the edition runs range from 30 to 10,000 editions. each work comes with a digital certificate that is “signed, numbered and authenticated by the artist” [7][8] once an edition is sold out, collectors can resell their works in the online marketplace.
 situation: the local art store had limited edition artworks for sale last week. they all had 200 pieces at the beginning of the week. by the end of the week, they started to sell out. there were only 2 of the mona lisa, 10 of the starry night, 20 of the scream, 50 of the night watch, 120 of the kiss, 150 of the arnolfini portrait, and 190 of the girl with a pearl earring left.
 question: which limited edition most likely had it's price increased: the girl with a pearl earring or mona lisa?",mona lisa,ropes,215,mona lisa,mona lisa,a,1
4247003947,"Hepatitis B is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. Two different types of infection exist for this disease, ""acute"" and ""chronic."" Acute Hepatitis B is a short term illness that occurs within 6 months of exposure, Chronic Hepatitis B is long term and happens when the virus remains in the body. The younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. Approximately 90% of infected infants will develop a chronic infection.[3]","A 3rd grade classroom photo was held today. They all gathered by age. Gil was the oldest, followed by Jules, and Burt was the youngest. They looked good that day.",Who has a greater chance of developing a chronic infection: Jules or Gil?,{'text': ['Jules']},test,Jules,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. gil was the oldest, followed by jules, and burt was the youngest. they looked good that day.
 question: who has a greater chance of developing a chronic infection: jules or gil?",jules,ropes,196,jules,gil,a,0
925969093,"Regions on the Earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. High altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

At high altitude, atmospheric pressure is lower than that at sea level. This is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]","There was a competition for who can get their red drone the highest into the air. Team A got it 2,501 ft. Team B got it 3,501 ft. Team C go it 4,501 ft. Team D got it 5,501 ft. Team E got it 10,501 ft. Team F got it 13,501 ft. Team G got it 14,501 ft. Team G won the contest and got a gold trophy as the prize.",What team got their drone into high altitude: Team B or Team F?,{'text': ['Team F']},test,Team F,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their red drone the highest into the air. team a got it 2,501 ft. team b got it 3,501 ft. team c go it 4,501 ft. team d got it 5,501 ft. team e got it 10,501 ft. team f got it 13,501 ft. team g got it 14,501 ft. team g won the contest and got a gold trophy as the prize.
 question: what team got their drone into high altitude: team b or team f?",team f,ropes,234,team f,team f,a,1
804479193,"Alberta's electrical demand varies throughout the day and across the seasons. When individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. It tapers off during spring and fall. Like other mechanical devices, generators fail from time to time. If they are wind-powered, their output varies with the wind.","Horus works at the power plant in Alberta. He is charged with varying which generators to turn on for various power demands. His boss has informed him that he wants Horus to be as efficient as possible, and to only use the generators when needed, otherwise to have them off. Horus has been trained to recognize different conditions, such as hot temperatures, cold temperatures, moderate weather, and time of the day, such as late at night, early mornings, or the evenings, as all having different power demands.",If the temperature is hot outside should Horus turn on or turn off more generators?,{'text': ['turn on']},test,turn on,"background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: horus works at the power plant in alberta. he is charged with varying which generators to turn on for various power demands. his boss has informed him that he wants horus to be as efficient as possible, and to only use the generators when needed, otherwise to have them off. horus has been trained to recognize different conditions, such as hot temperatures, cold temperatures, moderate weather, and time of the day, such as late at night, early mornings, or the evenings, as all having different power demands.
 question: if the temperature is hot outside should horus turn on or turn off more generators?",turn on,ropes,214,turn on,turn on,a,1
22828233,"Hepatitis B is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. Two different types of infection exist for this disease, ""acute"" and ""chronic."" Acute Hepatitis B is a short term illness that occurs within 6 months of exposure, Chronic Hepatitis B is long term and happens when the virus remains in the body. The younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. Approximately 90% of infected infants will develop a chronic infection.[3]","A 2nd grade classroom photo was held today. They all gathered by age. Susan was the oldest. Margaret was the 2nd oldest. Dorothy was the 3rd oldest. Lisa was the 4th oldest. Nancy was the 5th oldest. Karen was the 6th oldest. The last one was Betty, who was the youngest. They all looked great that day.",Who has a greater chance of developing a chronic infection: Karen or Betty?,{'text': ['Betty']},test,Betty,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 2nd grade classroom photo was held today. they all gathered by age. susan was the oldest. margaret was the 2nd oldest. dorothy was the 3rd oldest. lisa was the 4th oldest. nancy was the 5th oldest. karen was the 6th oldest. the last one was betty, who was the youngest. they all looked great that day.
 question: who has a greater chance of developing a chronic infection: karen or betty?",betty,ropes,232,betty,betty,b,1
1315642454,"Storing large volumes of data – When storing XML to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, CPU load goes up as XML data takes more power to process, and storage costs go up. By storing XML data in Fast Infoset format, data volume may be reduced by as much as 80 percent.","Paul had a busy day storing XML. At 3 PM, he stored 22111 Gigabytes to the database. At 4 PM, he stored 33222 Gigabytes to the database. At 5 PM, he stored 44333 Gigabytes to the database. At 6 PM, he got dinner. At 7 PM, he stored 55444 Gigabytes to the database. At 8 PM, he stored 66555 Gigabytes to the database. At 9 PM, he went to sleep to finish storing XML tomorrow afternoon.",What time did storage costs go up:  4 PM or 6 PM?,{'text': ['4 PM']},test,4 PM,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: paul had a busy day storing xml. at 3 pm, he stored 22111 gigabytes to the database. at 4 pm, he stored 33222 gigabytes to the database. at 5 pm, he stored 44333 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 55444 gigabytes to the database. at 8 pm, he stored 66555 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml tomorrow afternoon.
 question: what time did storage costs go up:  4 pm or 6 pm?",4 pm,ropes,250,4 pm,4 pm,a,1
