question_stem,question_para_step,answer_label,answer_label_as_choice,choices,metadata_question_id,metadata_graph_id,metadata_para_id,metadata_question_type,metadata_path_len,split,label,context,input,output,task,input_length,output_text,output_label,preds,choice,is_correct
"suppose more insect repellents used. happens, how will it affect more flowers being pollinated.","['A flowering plant has stamen and pistils', 'An insect ot bird lands on the plant', 'Some of the pollen sticks to it', 'The insect or bird travels to another plant of the same species', 'The pollen is tranferred to the new plant.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1273:633:140#1,633,1273,EXOGENOUS_EFFECT,4,test,1,A flowering plant has stamen and pistils. An insect ot bird lands on the plant. Some of the pollen sticks to it. The insect or bird travels to another plant of the same species. The pollen is tranferred to the new plant.,context: 1. a flowering plant has stamen and pistils 2. an insect ot bird lands on the plant 3. some of the pollen sticks to it 4. the insect or bird travels to another plant of the same species 5. the pollen is tranferred to the new plant. question: suppose more insect repellents used happens how will it affect more flowers being pollinated? options: a) more b) less c) no effect,less,wiqa,93,b) less,b,c) no effect,c,0
"suppose oil tanks near the pond spill happens, how will it affect seeds will stick to more bees.","['Bees land on flowers to gather nectar', 'Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers', 'When the bees fly away, the pollen goes with the bees', 'The bees land on other flowers', 'The pollen sacs are rubbed off onto the stigma of the new flower', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:444:1757:91,1757,444,OUTOFPARA_DISTRACTOR,0,test,2,"Bees land on flowers to gather nectar. Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers. When the bees fly away, the pollen goes with the bees. The bees land on other flowers. The pollen sacs are rubbed off onto the stigma of the new flower.","context: 1. bees land on flowers to gather nectar 2. little hairs on the bees legs attach to pollen sacs from the stamens of the flowers 3. when the bees fly away, the pollen goes with the bees 4. the bees land on other flowers 5. the pollen sacs are rubbed off onto the stigma of the new flower 6.  question: suppose oil tanks near the pond spill happens how will it affect seeds will stick to more bees? options: a) more b) less c) no effect",no effect,wiqa,113,c) no effect,c,c) no effect,c,1
"suppose if there is no sunlight happens, how will it affect a more intense water cycle.","['Water from a lake or ocean evaporates', 'The water vapor enters the atmosphere', 'The water vapor accumulates', 'The vapor becomes clouds', 'The clouds become too heaavy', 'Precipitation occurs.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:949:1421:76#0,1421,949,INPARA_EFFECT,3,test,1,Water from a lake or ocean evaporates. The water vapor enters the atmosphere. The water vapor accumulates. The vapor becomes clouds. The clouds become too heaavy. Precipitation occurs.,context: 1. water from a lake or ocean evaporates 2. the water vapor enters the atmosphere 3. the water vapor accumulates 4. the vapor becomes clouds 5. the clouds become too heaavy 6. precipitation occurs. question: suppose if there is no sunlight happens how will it affect a more intense water cycle? options: a) more b) less c) no effect,less,wiqa,78,b) less,b,c) no effect,c,0
"suppose more farmers around happens, how will it affect more eggs hatch.","['A frog lays eggs in the water', 'Tadpoles develop inside of the eggs', 'The eggs hatch', 'The tadpoles eat and grow', 'The tadpoles grow legs and form into frogs', 'The frogs leave the water.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:515:459:167,459,515,OUTOFPARA_DISTRACTOR,0,test,2,A frog lays eggs in the water. Tadpoles develop inside of the eggs. The eggs hatch. The tadpoles eat and grow. The tadpoles grow legs and form into frogs. The frogs leave the water.,context: 1. a frog lays eggs in the water 2. tadpoles develop inside of the eggs 3. the eggs hatch 4. the tadpoles eat and grow 5. the tadpoles grow legs and form into frogs 6. the frogs leave the water. question: suppose more farmers around happens how will it affect more eggs hatch? options: a) more b) less c) no effect,no effect,wiqa,88,c) no effect,c,c) no effect,c,1
"suppose the external source is heated up happens, how will it affect less or smaller pumpkins.","['Get some pumpkin seeds', 'Plant the pumpkin seeds in soil', 'Water the plant if it starts to dry out', 'Don&#x27;t water directly on the leaves', 'Male flowers appear', 'Female flowers are open for one day', 'Pumpkins mature 85-125 days after planting.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:1084:1310:231,1310,1084,OUTOFPARA_DISTRACTOR,0,test,2,Get some pumpkin seeds. Plant the pumpkin seeds in soil. Water the plant if it starts to dry out. Don&#x27;t water directly on the leaves. Male flowers appear. Female flowers are open for one day. Pumpkins mature 85-125 days after planting.,context: 1. get some pumpkin seeds 2. plant the pumpkin seeds in soil 3. water the plant if it starts to dry out 4. don&#x27;t water directly on the leaves 5. male flowers appear 6. female flowers are open for one day 7. pumpkins mature 85-125 days after planting. question: suppose the external source is heated up happens how will it affect less or smaller pumpkins? options: a) more b) less c) no effect,no effect,wiqa,82,c) no effect,c,c) no effect,c,1
"suppose less eggs kept safe happens, how will it affect more water goes into the ground.","['Water from oceans, lakes, rivers, swamps, and plants turns into water vapor', 'Water vapor forms droplets in clouds', 'Water droplets in clouds become rain or snow and fall', 'Some water goes into the ground', 'Some water flows down streams into rivers and oceans', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:14:913:125,913,14,OUTOFPARA_DISTRACTOR,0,test,2,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor. Water vapor forms droplets in clouds. Water droplets in clouds become rain or snow and fall. Some water goes into the ground. Some water flows down streams into rivers and oceans.","context: 1. water from oceans, lakes, rivers, swamps, and plants turns into water vapor 2. water vapor forms droplets in clouds 3. water droplets in clouds become rain or snow and fall 4. some water goes into the ground 5. some water flows down streams into rivers and oceans 6.  question: suppose less eggs kept safe happens how will it affect more water goes into the ground? options: a) more b) less c) no effect",no effect,wiqa,88,c) no effect,c,c) no effect,c,1
"suppose pollen sticks to a flower happens, how will it affect there is no flower to pollinate.","['A bee lands on the flower', 'Their feet slip into little grooves that hold pollen sacs', 'When the bee flies off, it carries off the pollen sac', 'The bee lands on another plant', 'The pollen sac falls off and pollinates the plant', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:743:1921:150#0,1921,743,INPARA_EFFECT,2,test,1,"A bee lands on the flower. Their feet slip into little grooves that hold pollen sacs. When the bee flies off, it carries off the pollen sac. The bee lands on another plant. The pollen sac falls off and pollinates the plant.","context: 1. a bee lands on the flower 2. their feet slip into little grooves that hold pollen sacs 3. when the bee flies off, it carries off the pollen sac 4. the bee lands on another plant 5. the pollen sac falls off and pollinates the plant 6.  question: suppose pollen sticks to a flower happens how will it affect there is no flower to pollinate? options: a) more b) less c) no effect",less,wiqa,96,b) less,b,b) less,b,1
"suppose helix attaches to new strands happens, how will it affect magma transforms into a volcano above the earth.","['Tectonic plates smash together', 'The edges of the plates crumple up', 'The ridges are mountain ranges', 'Magma is forced to the surface', 'Magma forms a volcano.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:115:2081:133,2081,115,OUTOFPARA_DISTRACTOR,0,test,2,Tectonic plates smash together. The edges of the plates crumple up. The ridges are mountain ranges. Magma is forced to the surface. Magma forms a volcano.,context: 1. tectonic plates smash together 2. the edges of the plates crumple up 3. the ridges are mountain ranges 4. magma is forced to the surface 5. magma forms a volcano. question: suppose helix attaches to new strands happens how will it affect magma transforms into a volcano above the earth? options: a) more b) less c) no effect,no effect,wiqa,86,c) no effect,c,c) no effect,c,1
"suppose more toxic pollutants enter the water happens, how will it affect proteins and acids are in the liver.","['Blood delivers oxygen in the body', 'Proteins and acids are broken down in the liver', 'The liver releases waste in the form of urea', 'The blood carries the urea and carbon dioxide to the kidneys', 'The kidneys strain the urea and salts needed from the blood', 'The carbon dioxide by product is transported back to the lungs', 'Carbon dioxide is exhaled by the lungs.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:846:1741:164,1741,846,OUTOFPARA_DISTRACTOR,0,test,2,Blood delivers oxygen in the body. Proteins and acids are broken down in the liver. The liver releases waste in the form of urea. The blood carries the urea and carbon dioxide to the kidneys. The kidneys strain the urea and salts needed from the blood. The carbon dioxide by product is transported back to the lungs. Carbon dioxide is exhaled by the lungs.,context: 1. blood delivers oxygen in the body 2. proteins and acids are broken down in the liver 3. the liver releases waste in the form of urea 4. the blood carries the urea and carbon dioxide to the kidneys 5. the kidneys strain the urea and salts needed from the blood 6. the carbon dioxide by product is transported back to the lungs 7. carbon dioxide is exhaled by the lungs. question: suppose more toxic pollutants enter the water happens how will it affect proteins and acids are in the liver? options: a) more b) less c) no effect,no effect,wiqa,117,c) no effect,c,c) no effect,c,1
"suppose more volcanoes are formed happens, how will it affect pollen sticks to a flower.","['A bee lands on the flower', 'Their feet slip into little grooves that hold pollen sacs', 'When the bee flies off, it carries off the pollen sac', 'The bee lands on another plant', 'The pollen sac falls off and pollinates the plant', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:743:1921:203,1921,743,OUTOFPARA_DISTRACTOR,0,test,2,"A bee lands on the flower. Their feet slip into little grooves that hold pollen sacs. When the bee flies off, it carries off the pollen sac. The bee lands on another plant. The pollen sac falls off and pollinates the plant.","context: 1. a bee lands on the flower 2. their feet slip into little grooves that hold pollen sacs 3. when the bee flies off, it carries off the pollen sac 4. the bee lands on another plant 5. the pollen sac falls off and pollinates the plant 6.  question: suppose more volcanoes are formed happens how will it affect pollen sticks to a flower? options: a) more b) less c) no effect",no effect,wiqa,95,c) no effect,c,c) no effect,c,1
