,task,domain_label,question_type,input,input,output_text,know_pred,know_pred_is_correct,baseline_is_correct,baseline_pred
361,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. lenny was the youngest. connie was the 2nd youngest. newton was the 3rd youngest. amado was the 4th youngest. dillon was the 5th youngest. thanh was the 6th youngest. the last one was frances, who was the oldest. they all looked great.
 question: who has a greater chance of developing a chronic infection: newton or lenny?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. lenny was the youngest. connie was the 2nd youngest. newton was the 3rd youngest. amado was the 4th youngest. dillon was the 5th youngest. thanh was the 6th youngest. the last one was frances, who was the oldest. they all looked great.
 question: who has a greater chance of developing a chronic infection: newton or lenny?",lenny,Newton,0,0,Newton
73,ropes,commonsense, effect comparison,"background: the primary advantage held by a player in late position is that he will have more information with which to make better decisions than players in early position, who will have to act first, without the benefit of this extra information. this advantage has led to many players in heads-up play raising on the button with an extremely wide range of hands because of this positional advantage.[3] also, as earlier opponents fold, the probability of a hand being the best goes up as the number of opponents goes down.
 situation: steve is in a poker tournament in the coming week. the tournament is broken up into two rounds. in the first round, steve drew an early position at the table which will be on saturday, and in the second round he drew a late position which will take place on sunday. steve hopes to win as the pot for winning is rather large.
 question: will steve be able to make better decisions for his hands on saturday or sunday?","background: the primary advantage held by a player in late position is that he will have more information with which to make better decisions than players in early position, who will have to act first, without the benefit of this extra information. this advantage has led to many players in heads-up play raising on the button with an extremely wide range of hands because of this positional advantage.[3] also, as earlier opponents fold, the probability of a hand being the best goes up as the number of opponents goes down.
 situation: steve is in a poker tournament in the coming week. the tournament is broken up into two rounds. in the first round, steve drew an early position at the table which will be on saturday, and in the second round he drew a late position which will take place on sunday. steve hopes to win as the pot for winning is rather large.
 question: will steve be able to make better decisions for his hands on saturday or sunday?",sunday,Sunday,1,1,Sunday
374,ropes,science, effect comparison,"background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the reefer rebels met to discuss their experiences. they all said they always had a great experience using reefer and used the same amount each time. they told how many times they used reefer. donald used it 2 times, george used it 7 times, kenneth used it 12 times, steven used it 16 times, edward used it 24 times, brian used it 30 times, and ronald used it 50 times.
 question: who has a higher tolerance for reefer: steven or ronald?","background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the reefer rebels met to discuss their experiences. they all said they always had a great experience using reefer and used the same amount each time. they told how many times they used reefer. donald used it 2 times, george used it 7 times, kenneth used it 12 times, steven used it 16 times, edward used it 24 times, brian used it 30 times, and ronald used it 50 times.
 question: who has a higher tolerance for reefer: steven or ronald?",ronald,Ronald,1,0,Ronald.
155,ropes,commonsense, cause comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: roger had a busy day storing xml. at 4 pm, he stored 22211 gigabytes to the database. at 5 pm, he stored 33322 gigabytes to the database. at 6 pm, he stored 44433 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 55544 gigabytes to the database. at 9 pm, he stored 66655 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did access times go up: 6 pm or 10 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: roger had a busy day storing xml. at 4 pm, he stored 22211 gigabytes to the database. at 5 pm, he stored 33322 gigabytes to the database. at 6 pm, he stored 44433 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 55544 gigabytes to the database. at 9 pm, he stored 66655 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did access times go up: 6 pm or 10 pm?",6 pm,6 PM,1,0,10 PM
104,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: tory had a busy day storing xml. at 7 am, he stored 201 gigabytes to the database. at 8 am, he stored 301 gigabytes to the database. at 9 am, he stored 401 gigabytes to the database. at 10 am, he got breakfast. at 11 am, he stored 501 gigabytes to the database. at 12 pm, he stored 601 gigabytes to the database. at 1 pm, she went to sleep to finish storing xml later on that day.
 question: what time did cpu load go up: 12 pm or 1 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: tory had a busy day storing xml. at 7 am, he stored 201 gigabytes to the database. at 8 am, he stored 301 gigabytes to the database. at 9 am, he stored 401 gigabytes to the database. at 10 am, he got breakfast. at 11 am, he stored 501 gigabytes to the database. at 12 pm, he stored 601 gigabytes to the database. at 1 pm, she went to sleep to finish storing xml later on that day.
 question: what time did cpu load go up: 12 pm or 1 pm?",12 pm,12 PM,1,0,1 PM
394,ropes,science, cause comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. gil was the oldest, followed by jules, and burt was the youngest. they looked good that day.
 question: who has a greater chance of developing a chronic infection: gil or burt?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. gil was the oldest, followed by jules, and burt was the youngest. they looked good that day.
 question: who has a greater chance of developing a chronic infection: gil or burt?",burt,Gil,0,0,Gil
377,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: earl had a busy day storing xml. at 3 pm, he stored 11000 gigabytes to the database. at 4 pm, he stored 22000 gigabytes to the database. at 5 pm, he stored 33000 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 44000 gigabytes to the database. at 8 pm, he stored 55000 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml tomorrow morning.
 question: what time did the access times go up: 7 pm or 9 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: earl had a busy day storing xml. at 3 pm, he stored 11000 gigabytes to the database. at 4 pm, he stored 22000 gigabytes to the database. at 5 pm, he stored 33000 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 44000 gigabytes to the database. at 8 pm, he stored 55000 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml tomorrow morning.
 question: what time did the access times go up: 7 pm or 9 pm?",7 pm,Access times went up at 9 PM.,0,1,7 PM
124,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: eliseo had a busy day storing xml. in the morning, he filled up many hard drives with xml. in the afternoon, he filled up a few hard drives with xml. at night, he filled up a hard drive with xml.
 question: what time did the access times go up the least: morning or night?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: eliseo had a busy day storing xml. in the morning, he filled up many hard drives with xml. in the afternoon, he filled up a few hard drives with xml. at night, he filled up a hard drive with xml.
 question: what time did the access times go up the least: morning or night?",night,Night,1,1,night
68,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. charles was the youngest. joseph was the 2nd youngest. thomas was the 3rd youngest. christopher was the 4th youngest. daniel was the 5th youngest. paul was the 6th youngest. the last one was mark, who was the oldest. they all looked fantastic that day.
 question: who has a greater chance of developing a chronic infection: paul or joseph?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. charles was the youngest. joseph was the 2nd youngest. thomas was the 3rd youngest. christopher was the 4th youngest. daniel was the 5th youngest. paul was the 6th youngest. the last one was mark, who was the oldest. they all looked fantastic that day.
 question: who has a greater chance of developing a chronic infection: paul or joseph?",joseph,Paul,0,0,Paul
450,ropes,commonsense, cause prediction,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: kenny had a busy day storing xml. at 1 pm, he stored 11111 gigabytes to the database. at 2 pm, he stored 22222 gigabytes to the database. at 3 pm, he stored 33333 gigabytes to the database. at 4 pm, he got dinner. at 5 pm, he stored 44444 gigabytes to the database. at 6 pm, he stored 55555 gigabytes to the database. at 7 pm, he went to sleep to finish storing xml tomorrow morning.
 question: what time did storage costs go up:  3 pm or 7 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: kenny had a busy day storing xml. at 1 pm, he stored 11111 gigabytes to the database. at 2 pm, he stored 22222 gigabytes to the database. at 3 pm, he stored 33333 gigabytes to the database. at 4 pm, he got dinner. at 5 pm, he stored 44444 gigabytes to the database. at 6 pm, he stored 55555 gigabytes to the database. at 7 pm, he went to sleep to finish storing xml tomorrow morning.
 question: what time did storage costs go up:  3 pm or 7 pm?",3 pm,3 PM,1,0,7 PM
