Unnamed: 0,question_stem,question_para_step,answer_label,answer_label_as_choice,choices,metadata_question_id,metadata_graph_id,metadata_para_id,metadata_question_type,metadata_path_len,split,label,context,input,output,task,input_length,output_text,output_label,question,updated_answer,domain_label,question_type,baseline_pred,baseline_choice,baseline_is_correct,know_pred,know_choice,know_is_correct
73,"suppose bees may be decimated by illness happens, how will it affect more bees are collecting pollen.","['A flowering plant has stamen and pistils', 'An insect ot bird lands on the plant', 'Some of the pollen sticks to it', 'The insect or bird travels to another plant of the same species', 'The pollen is tranferred to the new plant.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1273:628:21#1,628,1273,INPARA_EFFECT,2,test,1,A flowering plant has stamen and pistils. An insect ot bird lands on the plant. Some of the pollen sticks to it. The insect or bird travels to another plant of the same species. The pollen is tranferred to the new plant.,context: 1. a flowering plant has stamen and pistils 2. an insect ot bird lands on the plant 3. some of the pollen sticks to it 4. the insect or bird travels to another plant of the same species 5. the pollen is tranferred to the new plant. question: suppose bees may be decimated by illness happens how will it affect more bees are collecting pollen? options: a) more b) less c) no effect,less,wiqa,98,b) less,b,"if bee populations are decimated by illness, how will this affect the number of bees collecting pollen?",less,science,effect quantification,c) less,c,0,c) less,c,0
231,"suppose there is more magma happens, how will it affect more bees reach flowers.","['A bee lands on the flower', 'Their feet slip into little grooves that hold pollen sacs', 'When the bee flies off, it carries off the pollen sac', 'The bee lands on another plant', 'The pollen sac falls off and pollinates the plant', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:743:1917:55,1917,743,OUTOFPARA_DISTRACTOR,0,test,2,"A bee lands on the flower. Their feet slip into little grooves that hold pollen sacs. When the bee flies off, it carries off the pollen sac. The bee lands on another plant. The pollen sac falls off and pollinates the plant.","context: 1. a bee lands on the flower 2. their feet slip into little grooves that hold pollen sacs 3. when the bee flies off, it carries off the pollen sac 4. the bee lands on another plant 5. the pollen sac falls off and pollinates the plant 6.  question: suppose there is more magma happens how will it affect more bees reach flowers? options: a) more b) less c) no effect",no effect,wiqa,94,c) no effect,c,"if there is an increase in magma, how will this affect the number of bees reaching flowers?",no effect,science,effect quantification,c) no effect. an increase in magma does not directly affect the number of bees reaching,c,1,c) no effect.,c,1
175,"suppose egg is deformed happens, how will it affect less flowers being pollinated.","['A flowering plant has stamen and pistils', 'An insect ot bird lands on the plant', 'Some of the pollen sticks to it', 'The insect or bird travels to another plant of the same species', 'The pollen is tranferred to the new plant.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:1273:633:233,633,1273,OUTOFPARA_DISTRACTOR,0,test,2,A flowering plant has stamen and pistils. An insect ot bird lands on the plant. Some of the pollen sticks to it. The insect or bird travels to another plant of the same species. The pollen is tranferred to the new plant.,context: 1. a flowering plant has stamen and pistils 2. an insect ot bird lands on the plant 3. some of the pollen sticks to it 4. the insect or bird travels to another plant of the same species 5. the pollen is tranferred to the new plant. question: suppose egg is deformed happens how will it affect less flowers being pollinated? options: a) more b) less c) no effect,no effect,wiqa,90,c) no effect,c,"if an egg is deformed, how will this affect the number of flowers being pollinated?",no effect,science,effect quantification,c) no effect.,c,1,c) no effect.,c,1
237,"suppose more fry are caught by fishermen happens, how will it affect more fish.","['Fish start as eggs', 'The eggs hatch', 'A larvae emerges', 'The larvae matures and grows', 'The larvae becomes an &#x27;adolescent&#x27; fish (or fry)', 'The adolescent fish grows', 'The fish might go through several sub-stages, depend on its species or type', 'The fish is now a mature adult', 'The adult fish can lay more eggs', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:519:1941:32#1,1941,519,EXOGENOUS_EFFECT,4,test,1,"Fish start as eggs. The eggs hatch. A larvae emerges. The larvae matures and grows. The larvae becomes an &#x27;adolescent&#x27; fish (or fry). The adolescent fish grows. The fish might go through several sub-stages, depend on its species or type. The fish is now a mature adult. The adult fish can lay more eggs.","context: 1. fish start as eggs 2. the eggs hatch 3. a larvae emerges 4. the larvae matures and grows 5. the larvae becomes an &#x27;adolescent&#x27; fish (or fry) 6. the adolescent fish grows 7. the fish might go through several sub-stages, depend on its species or type 8. the fish is now a mature adult 9. the adult fish can lay more eggs 10.  question: suppose more fry are caught by fishermen happens how will it affect more fish? options: a) more b) less c) no effect",less,wiqa,107,b) less,b,"if more fry are caught by fishermen, how will this affect the population of mature fish?",less,science,effect quantification,c) no effect (directly),c,0,c) no effect (directly),c,0
155,"suppose there is very poor weather happens, how will it affect there will be fewer tadpoles.","['An adult frog spawns eggs in water', 'These eggs hatch into tadpoles and continue to live in the water', 'The tadpoles grow developing external gills and a longer tail', 'The tadpole begins storing food in the tail', 'The tadpole develops hind legs and lives off food stored in the it&#x27;s tail', 'The front legs appear and the tadpole&#x27;s tail shortens', 'The tadpole now looks like a young frog', 'The young frog continues to grow to adulthood.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:516:1589:63#0,1589,516,EXOGENOUS_EFFECT,3,test,1,An adult frog spawns eggs in water. These eggs hatch into tadpoles and continue to live in the water. The tadpoles grow developing external gills and a longer tail. The tadpole begins storing food in the tail. The tadpole develops hind legs and lives off food stored in the it&#x27;s tail. The front legs appear and the tadpole&#x27;s tail shortens. The tadpole now looks like a young frog. The young frog continues to grow to adulthood.,context: 1. an adult frog spawns eggs in water 2. these eggs hatch into tadpoles and continue to live in the water 3. the tadpoles grow developing external gills and a longer tail 4. the tadpole begins storing food in the tail 5. the tadpole develops hind legs and lives off food stored in the it&#x27;s tail 6. the front legs appear and the tadpole&#x27;s tail shortens 7. the tadpole now looks like a young frog 8. the young frog continues to grow to adulthood. question: suppose there is very poor weather happens how will it affect there will be fewer tadpoles? options: a) more b) less c) no effect,less,wiqa,166,b) less,b,"if there is very poor weather, how will this affect the number of tadpoles?",less,science,effect quantification,c) no effect (the weather does not directly affect the number of tadpoles as they,c,0,c. no effect (to the hatching of eggs and initial development of tadpoles,c,0
321,"suppose the habitats are not disturbed happens, how will it affect fewer eggs are spawned.","['An adult frog spawns eggs in water', 'These eggs hatch into tadpoles and continue to live in the water', 'The tadpoles grow developing external gills and a longer tail', 'The tadpole begins storing food in the tail', 'The tadpole develops hind legs and lives off food stored in the it&#x27;s tail', 'The front legs appear and the tadpole&#x27;s tail shortens', 'The tadpole now looks like a young frog', 'The young frog continues to grow to adulthood.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:516:1590:84#0,1590,516,EXOGENOUS_EFFECT,3,test,1,An adult frog spawns eggs in water. These eggs hatch into tadpoles and continue to live in the water. The tadpoles grow developing external gills and a longer tail. The tadpole begins storing food in the tail. The tadpole develops hind legs and lives off food stored in the it&#x27;s tail. The front legs appear and the tadpole&#x27;s tail shortens. The tadpole now looks like a young frog. The young frog continues to grow to adulthood.,context: 1. an adult frog spawns eggs in water 2. these eggs hatch into tadpoles and continue to live in the water 3. the tadpoles grow developing external gills and a longer tail 4. the tadpole begins storing food in the tail 5. the tadpole develops hind legs and lives off food stored in the it&#x27;s tail 6. the front legs appear and the tadpole&#x27;s tail shortens 7. the tadpole now looks like a young frog 8. the young frog continues to grow to adulthood. question: suppose the habitats are not disturbed happens how will it affect fewer eggs are spawned? options: a) more b) less c) no effect,less,wiqa,164,b) less,b,"if the habitats are not disturbed, how will this affect the number of eggs spawned?",more,science,effect quantification,c) no effect.,c,0,c) no effect,c,0
9,"suppose less eggs hatch happens, how will it affect less flowers being pollinated.","['Bees land on flowers and eat the nectar of the plants', 'While on the flowers pollen gets on the bee&#x27;s fur', 'The bee flies to another area with other flowers', 'The pollen is deposited in that area', 'A plant is able to reproduce.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:744:1006:35,1006,744,OUTOFPARA_DISTRACTOR,0,test,2,Bees land on flowers and eat the nectar of the plants. While on the flowers pollen gets on the bee&#x27;s fur. The bee flies to another area with other flowers. The pollen is deposited in that area. A plant is able to reproduce.,context: 1. bees land on flowers and eat the nectar of the plants 2. while on the flowers pollen gets on the bee&#x27;s fur 3. the bee flies to another area with other flowers 4. the pollen is deposited in that area 5. a plant is able to reproduce. question: suppose less eggs hatch happens how will it affect less flowers being pollinated? options: a) more b) less c) no effect,no effect,wiqa,90,c) no effect,c,"if fewer eggs hatch, how will this affect the pollination of flowers?",no effect,science,effect quantification,c) no effect (assuming fewer eggs hatching does not affect the number of bees,c,1,c) no effect.,c,1
104,"suppose there is a dry season happens, how will it affect a lower level of water gets evaporated.","['Water from a lake or ocean evaporates', 'The water vapor enters the atmosphere', 'The water vapor accumulates', 'The vapor becomes clouds', 'The clouds become too heaavy', 'Precipitation occurs.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:949:1422:91#0,1422,949,EXOGENOUS_EFFECT,3,test,0,Water from a lake or ocean evaporates. The water vapor enters the atmosphere. The water vapor accumulates. The vapor becomes clouds. The clouds become too heaavy. Precipitation occurs.,context: 1. water from a lake or ocean evaporates 2. the water vapor enters the atmosphere 3. the water vapor accumulates 4. the vapor becomes clouds 5. the clouds become too heaavy 6. precipitation occurs. question: suppose there is a dry season happens how will it affect a lower level of water gets evaporated? options: a) more b) less c) no effect,more,wiqa,81,a) more,a,"if there is a dry season, how will it affect the level of water that evaporates?",less,science,effect quantification,"c) no effect (on the rate of evaporation itself during a dry season, but the",c,0,c) less.,c,0
370,"suppose there are other plants of the same species nearby happens, how will it affect a less intense water cycle.","['Water from oceans, lakes, rivers, swamps, and plants turns into water vapor', 'Water vapor forms droplets in clouds', 'Water droplets in clouds become rain or snow and fall', 'Some water goes into the ground', 'Some water flows down streams into rivers and oceans', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:14:913:151,913,14,OUTOFPARA_DISTRACTOR,0,test,2,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor. Water vapor forms droplets in clouds. Water droplets in clouds become rain or snow and fall. Some water goes into the ground. Some water flows down streams into rivers and oceans.","context: 1. water from oceans, lakes, rivers, swamps, and plants turns into water vapor 2. water vapor forms droplets in clouds 3. water droplets in clouds become rain or snow and fall 4. some water goes into the ground 5. some water flows down streams into rivers and oceans 6.  question: suppose there are other plants of the same species nearby happens how will it affect a less intense water cycle? options: a) more b) less c) no effect",no effect,wiqa,93,c) no effect,c,"if there are other plants of the same species nearby, how will this affect the intensity of the water cycle?",no effect,science,effect quantification,c) no effect,c,1,c) no effect (assuming equal water absorption and evapotranspiration rates among,c,1
404,"suppose more frogs lay eggs happens, how will it affect fewer seeds are planted.","['The planter must select a crop', 'The soil is prepared properly for that specific crop', 'Fertilizer is added to the soil', 'Seeds are planted in the field', 'Irrigation is set up to keep the crops properly watered', 'The crops grow', 'The crops are harvested.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:321:344:123,344,321,OUTOFPARA_DISTRACTOR,0,test,2,The planter must select a crop. The soil is prepared properly for that specific crop. Fertilizer is added to the soil. Seeds are planted in the field. Irrigation is set up to keep the crops properly watered. The crops grow. The crops are harvested.,context: 1. the planter must select a crop 2. the soil is prepared properly for that specific crop 3. fertilizer is added to the soil 4. seeds are planted in the field 5. irrigation is set up to keep the crops properly watered 6. the crops grow 7. the crops are harvested. question: suppose more frogs lay eggs happens how will it affect fewer seeds are planted? options: a) more b) less c) no effect,no effect,wiqa,92,c) no effect,c,"if more frogs lay eggs, how will this affect the number of seeds planted?",no effect,science,effect quantification,c) no effect.,c,1,c) no effect.,c,1
